,word
0,type
1,graph
2,data analysis
3,zoe figure
4,data
5,certain information
6,analysis
7,structures
8,seaweed
9,diagram
10,seaweeds
11,countless species
12,kelp forest
13,other water bodies
14,lakes
15,channel islands national marine sanctuary
16,part everyday
17,seaweeds part
18,everyday
19,seaweeds
20,everyday human life
21,part
22,seaweeds part everyday
23,video
24,jellyfish
25,moon
26,dinosaurs
27,moon jelly
28,moon jellies
29,sea jellies
30,jelly
31,survivors
32,simple animals sting
33,simple animals
34,cnidarians simple animals sting
35,cnidarians simple
36,brief introduction
37,sting
38,cnidarians
39,webpage
40,animals sting
41,cnidarians simple animals
42,live
43,live jellyfish cam
44,jellyfish cam
45,aquarium
46,jellyfish
47,cam
48,live look
49,live jellyfish
50,open ocean
51,monterey bay aquarium
52,cnidarians
53,simple organisms
54,marine ecosystems
55,video
56,species
57,coral reef
58,ecosystems reef symbiosis
59,diverse relationships
60,reef symbiosis
61,symbiosis
62,ocean waves
63,ecosystems reef
64,exploring ecosystems reef symbiosis
65,exploring ecosystems reef
66,exploring ecosystems
67,stinging cells
68,tentacles
69,shells
70,aggregating anemone
71,anemone
72,small crabs
73,aggregating
74,voracious feeders
75,plants
76,corals motion
77,motion
78,animals
79,video
80,corals
81,oysters
82,importance
83,ecologically
84,california coast
85,conservation efforts
86,video
87,oysters ecologically
88,oyster populations
89,mollusk
90,bivalve mollusk
91,many different bivalve mollusk species
92,filter feeders
93,roughfile clam
94,flower garden bank national marine
95,bivalve
96,gills
97,clam
98,giant clams
99,fossil record
100,shell
101,enormous shellfish
102,giant clam
103,giant
104,common bivalve
105,physiology
106,mussel
107,dissection
108,anatomy
109,video
110,mussel dissection
111,differences
112,bony
113,bony fish
114,page
115,sharks
116,sharks bony
117,cartilaginous fish
118,sharks bony fish
119,fish
120,types
121,lifemap
122,use lifemap
123,cartilaginous
124,cartilaginous fish
125,lifemap cartilaginous fish
126,life
127,tree
128,fish
129,lifemap cartilaginous
130,incredible cartilaginous fishes
131,rays skates
132,tabs
133,research
134,skates
135,rays
136,species
137,specific species
138,page
139,fish
140,cartilaginous
141,cartilaginous fish
142,cartilaginous fishes
143,beached shark
144,return jaws
145,other cartilaginous fish
146,jaws
147,sharks
148,return
149,local fisherman
150,example
151,good fortune
152,key
153,whale sharks
154,sharks
155,luck
156,survival
157,luck sharks
158,indonesian fishermen
159,sharks
160,california academy
161,shark lagoon live
162,live cam
163,action
164,lagoon
165,shark lagoon live cam
166,lagoon live
167,shark lagoon
168,rays
169,lagoon live cam
170,whale
171,sharks
172,action
173,whale sharks
174,sharks holbox
175,holbox
176,video
177,whale sharks holbox
178,shark anatomy
179,look
180,anatomy
181,shark
182,anatomy dissection
183,shark anatomy dissection
184,dissection
185,spiny dogfish
186,video
187,skates rays
188,skates
189,different species
190,rays
191,exciting video
192,image
193,shark species
194,shark
195,diversity
196,biggest shark
197,idea
198,biggest
199,arthropod
200,marine arthropods
201,extra attention
202,video
203,segment
204,crustaceans
205,lobsters
206,page
207,color
208,lobster
209,dinner
210,arthropods
211,marine arthropods
212,successful
213,arthropods successful design
214,arthropods successful
215,design
216,environments
217,video
218,successful design
219,noses
220,lobster amazing
221,amazing
222,amazing noses
223,lobster amazing noses
