,Text,Intent
0,set a warning for when my bank account starts running low,oos
1,a show on broadway,oos
2,who has the best record in the nfl,oos
3,how do i find the area of a circle,oos
4,how many onions do i have on hand,oos
5,what is the name of the 13th president,oos
6,show me recent activity in my backyard,oos
7,how long will it take me to pay off my card if i pay an extra $50 a month over the minimum,oos
8,does our bank have free notary,oos
9,what were the top stories this week,oos
10,can i mix antifreeze with water,oos
11,are any earning reports due,oos
12,show me the channel guide,oos
13,is the pnc bank open,oos
14,where does the power steering fluid go,oos
15,when was the last time the president visited floridau,oos
16,how can i keep my windshield from fogging up in winter,oos
17,how do i compute the median of a set of numbers,oos
18,what is happening with brexit right nowu,oos
19,are there any new companies to look out for,oos
20,can you tell me how to compute price per ounce,oos
21,how to unclog a drain,oos
22,am kind of busy now,oos
23,what new reality shows are there for 2019,oos
24,what is the purpose or benefit of a cash advance,oos
25,how can i root an android phone,oos
26,is android better than iphone,oos
27,are androids expensive,oos
28,how long does it take to become an architect,oos
29,who are some famous living architects,oos
30,find out for me as to why people get autism,oos
31,is autism a genetic disease,oos
32,is flu contagious,oos
33,is it true that nicotine is harder to kick than heroin,oos
34,please inform me on bad habits and overcoming them,oos
35,are bad habits closely related with addictions,oos
36,does hypnosis work to break bad habits,oos
37,king of acid,oos
38,suo2,oos
39,what university in the united states offers the best biomedical engineering program,oos
40,what's the definition of nuclear engineering,oos
41,when was electrical engineering created,oos
42,what is naval engineering,oos
43,is it possible to survive in a black hole,oos
44,where do black holes come from,oos
45,what are black holes,oos
46,what was the final vote count in the brexit referendum,oos
47,can you tell me the latest georgia news,oos
48,is the brexit finalized yet,oos
49,the birds fly with there wings,oos
50,how the birds fly,oos
51,where does cannabis originate from,oos
52,how are my cannabis stocks doing,oos
53,is marijuana addictive,oos
54,should i hit or stay at 17 in blackjack,oos
55,what game has the best odds at a casino,oos
56,what's the best opening gambit for a game of chess,oos
57,what side in chess has the general advantage,oos
58,how do i get better at go,oos
59,how high does my sat score need to be to get into harvard,oos
60,what'll an education at boulder state college run,oos
61,what's the average gpa to get into yale,oos
62,what act score is considered good,oos
63,what cryptocurrency gained the most in 2018,oos
64,what's the best crypto to buy in 2019,oos
65,how is crypto legal,oos
66,are there any cybersecurity jobs available in pittsburgh,oos
67,how many firewalls should i have and what type,oos
68,how can i breach a network,oos
69,how does cybersecurity work,oos
70,how many countries in the world are democracies,oos
71,is the united states a democracy,oos
72,which nations are not democratic,oos
73,how does a democracy work,oos
74,please get me my wheelchair,oos
75,what's the best dog food to feed my puppy,oos
76,how do you know when your dog is ill,oos
77,what dog breed sold the most in 2018,oos
78,how much food should i feed my cat,oos
79,what does it mean if i dream of falling off a building,oos
80,is it bad to not remember your dreams,oos
81,why do we dream,oos
82,"do ducks eat meat, vegetables, or both",oos
83,what is the friendliest breed,oos
84,what do geese eat,oos
85,do ducks sleep,oos
86,are over the ear headphones better than in ear headphones,oos
87,what brand of earphones is the best reviewed of 2019,oos
88,are white and brown eggs any different,oos
89,where do eggs come from,oos
90,how can i easily replace a string on my guitar,oos
91,how do you learn how to play electric violin,oos
92,can you give me the standard tuning notes,oos
93,what is the cheapest electric guitar,oos
94,you want to know about current time now,oos
95,what does it mean to have equality,oos
96,what site publishes the most fake news,oos
97,can you tell me some fake news,oos
98,is cnn really fake news,oos
99,why is there fake news,oos
100,how do i say dinner in spanish,oos
101,how do i say thank you in spanish,oos
102,how do i say good bye in chinese,oos
103,how can i say thank you very much in chinese,oos
104,would you tell me how to say goodbye in france,oos
105,tell me how to say hello in chile,oos
106,"could you translate this into chinese for me, please",oos
107,transfer ten dollars from my wells fargo account to my bank of america account,oos
108,move three hundred and fifty dollars from my citibank savings account to my chase savings account,oos
109,move my money to the other account,oos
110,move 100 dollars from my savings to my checking,oos
111,transfer 50 dollars from my checking account to my money market account,oos
112,set the timer for 10 minutes,oos
113,can you set a 30 second timer,oos
114,please set a timer to go off in 45 minutes,oos
115,i need a timer that is set at 1 hour exactly,oos
116,will you start a timer for me,oos
117,may i please have a definition for the work churlish,definition
118,i want to know what trenchant means,definition
119,what is the meaning of fascism,definition
120,can you tell me what a septuagenarian is,definition
121,can you define the word schadenfreude,definition
122,what does unsavory mean,definition
123,please define erection for me,definition
124,what does idiosyncratic mean,definition
125,tell me the meaning of condemnation,definition
126,define monetary for me please,definition
127,tell me the meaning of hegemony,definition
128,what does indignation mean,definition
129,define ambivalence for me please,definition
130,please define institutional racism,definition
131,define antagonist for me please,definition
132,what does distinguish mean,definition
133,what is the meaning of word alliance,definition
134,i need to know what dominate means,definition
135,what is the definition of the word migrate,definition
136,tell me please what paean means,definition
137,i'd like to know the meaning of life,oos
138,what's your opinion on the meaning of life,oos
139,tell me your thoughts about the meaning of life,oos
140,tell me the meaning of life,oos
141,why are humans on earth,oos
142,tell me how to get new insurance,oos
143,i want to get new insurance,oos
144,i'd like to know how to make changes for my insurance policy,oos
145,tell me how to make changes to my insurance policy,oos
146,"i need to change my insurance policy, how",oos
147,i need your help finding my lost phone,oos
148,tell me where i left my phone,oos
149,what happened to my cellphone,oos
150,do you know where my cellphone is,oos
151,i have lost my phone,oos
152,i need to know my phone's location,oos
153,is france safe to travel to,oos
154,can i safely travel to france or is it dangerous,oos
155,are there any current travel alerts for brazil,oos
156,how safe is it to travel to guatemala right now and are there any alerts,oos
157,how safe is it to visit spain,oos
158,have the riots in france triggered any alerts for people traveling to there,oos
159,is there any danger going to brazil,oos
160,i need to request pto for march 2 and 3,oos
161,i need to make a vacation request; how,oos
162,provide assistance on what to do to make a vacation request,oos
163,i need to know how to make a vacation request,oos
164,i have a vacation request that i need made,oos
165,what are some ways to raise my credit score,oos
166,are there any videos on how to repair my credit score,oos
167,what can i do to get a better credit score,oos
168,will getting a credit card help my credit score,oos
169,how do i prevent my credit score from dropping,oos
170,how should i go about improving my credit score,oos
171,how can i make sure that my credit score does not decrease,oos
172,how can i safeguard my credit score from dropping,oos
173,do i have options on how to improve my credit score,oos
174,tell me something interesting about lake tahoe,oos
175,tell me something interesting about elephants,oos
176,tell me something interesting about dogs,oos
177,give me a cool fact about potatoes,oos
178,give me a cool fact about lsd,oos
179,what's a fun fact about axolotls,oos
180,tell me a fact about the maned wolf,oos
181,i need a spider fact,oos
182,read me some different cat trivia items,oos
183,you must change your language setting to russian,oos
184,you need to change your language setting to russian please,oos
185,please change the language,oos
186,speak arabic,oos
187,speak german,oos
188,how can i change your response language,oos
189,when's my next paycheck coming in,oos
190,what's the date of my next paycheck,oos
191,which day is it that my payment comes in,oos
192,how long has it been since i was paid,oos
193,how many times do i get paid in march,oos
194,what is my pay,oos
195,what's the time of arrival on my new credit card,oos
196,is it a short time before i receive my new credit card,oos
197,will my new credit card be here this week,oos
198,what hour is it in london,oos
199,what is the time in london,oos
200,what time of day is it in london,oos
201,what time is it in pacific standard time,oos
202,time in manhattan,oos
203,what is the current time right now in hollywood,oos
204,how far along is my credit card application,oos
205,what is the status of my credit card application looking like,oos
206,has my credit card application processed yet,oos
207,check the status of my credit card application please,oos
208,go to the credit card site and check if my application has gone through,oos
209,when will my credit card application be reviewed,oos
210,when am i boarding my flight,oos
211,will flight dl123 be on time,oos
212,i would like to know flight dl123's status,oos
213,at what time is my flight scheduled to land,oos
214,what time is my flight going to land,oos
215,ostensibly when is my flight going to land,oos
216,when is my flight going to arrive,oos
217,when is my flight boarding,oos
218,flip a heads or tails coin i pick heads,oos
219,please flip a coin - i call heads,oos
220,can you flip a coin i pick heads,oos
221,flip the coin ai,oos
222,please flip the coin over ai,oos
223,i want you to flip a coin now,oos
224,will you start calling me chaz,oos
225,i want you to call me a different name so can you call me charchar,oos
226,i want to be called tom,oos
227,you can call me jason,oos
228,i am jason,oos
229,you could say my name is nick,oos
230,what place were you born at,oos
231,tell me where you were created,oos
232,what place were you made at,oos
233,what place were you actually born at,oos
234,what place were you born,oos
235,what's your home town,oos
236,are you from here,oos
237,were you made here,oos
238,where did you come from,oos
239,you were made where,oos
240,please add bananas to my shopping list unless i already did,oos
241,can you add apples to my shopping list if they aren't already on there,oos
242,i'm out of kleenex so will you put that on my shopping list,oos
243,i'm out of paper towels so will you put that on my shopping list,oos
244,what types of things can i ask the ai,oos
245,what can i ask the ai,oos
246,what all can i ask you,oos
247,what are you capable of answering,oos
248,which kinds of info are you familiar with,oos
249,what kind of information do you know,oos
250,which subjects can you tell me about,oos
251,what topics can you answer questions on,oos
252,what kind of questions can you answer,oos
253,i do not know the answer to that,oos
254,possibly either one,oos
255,i don't have any idea,oos
256,which one i don't know either i guess,oos
257,don't have any idea,oos
258,either i am not sure,oos
259,maybe it does,oos
260,what weight oil do i need and how do i change the oil for my chevy truck,oos
261,what kind of oil and how much do i need for my toyota tacoma truck and how do i do it,oos
262,i need to know how to change my oil and what kind of oil for a 2007 trailblazer,oos
263,"i need a tutorial to learn how to change my oil, please",oos
264,what steps do i need to follow to change the oil in my car,oos
265,can you get me simple instructions on how to do an oil change,oos
266,can you tell me how to change my oil,oos
267,can you find some instructions on how to change my oil,oos
268,is there a reservation available at ruth chris today,oos
269,are there 8pm tables available at texas roadhouse,oos
270,what reservations are available for 3 people at the xenophobe,oos
271,under the name zebee book a reservation at the xenophobe for 3,oos
272,what's my pnc balance,oos
273,what is the balance in my pnc account,oos
274,can i get beer within my deposit account,oos
275,please double check my reservations for six at mani,oos
276,make sure my flower bar reservation is scheduled for tomorrow,oos
277,i would like to try and confirm that i have a reservation at applebee's for kristen,oos
278,i want to confirm friday's reservation at 2:00,oos
279,confirm my friday reservation at 2:00,oos
280,you know the reservation i have on 2:00 friday i confirm it,oos
