,Text,Intent
0,what is species,definition
1,summary of species,definition
2,i want summary of species,definition
3,brief explanation about species,definition
4,i want to know more about species,definition
5,summary for the current topic species,definition
6,more information about species,definition
7,summary for species,definition
8,give me summary for species,definition
9,i want summary for species,definition
10,what does species mean,definition
11,tell me something about species,definition
12,explain species,definition
13,elaborate species,definition
14,can you tell me about species,definition
15,what do you know about species,definition
16,what can you tell me about species,definition
17,do you have information about species,definition
18,define species,definition
19,can you define species,definition
20,give me definition of species,definition
21,may i please have a definition for species,definition
22,what is the meaning of species,definition
23,please define species,definition
24,tell me the meaning of species,definition
25,define species for me please,definition
26,i need to know what species means,definition
27,tell me please what species means,definition
28,what is the definition of species,definition
29,exactly what does species mean,definition
30,tell me what the word species means,definition
31,tell me the definition of species,definition
32,can you give the definition of species,definition
33,please share the definition of species,definition
34,species means what,definition
35,find what the word species mean please,definition
36,do you know what species means,definition
37,give me the meaning of species,definition
38,i would like to know what species means,definition
39,can you tell me what species means,definition
40,i do not undertand species,definition
41,i cannot understand species,definition
42,i am unable to understand species,definition
43,please explain species,definition
44,what is text,definition
45,summary of text,definition
46,i want summary of text,definition
47,brief explanation about text,definition
48,i want to know more about text,definition
49,summary for the current topic text,definition
50,more information about text,definition
51,summary for text,definition
52,give me summary for text,definition
53,i want summary for text,definition
54,what does text mean,definition
55,tell me something about text,definition
56,explain text,definition
57,elaborate text,definition
58,can you tell me about text,definition
59,what do you know about text,definition
60,what can you tell me about text,definition
61,do you have information about text,definition
62,define text,definition
63,can you define text,definition
64,give me definition of text,definition
65,may i please have a definition for text,definition
66,what is the meaning of text,definition
67,please define text,definition
68,tell me the meaning of text,definition
69,define text for me please,definition
70,i need to know what text means,definition
71,tell me please what text means,definition
72,what is the definition of text,definition
73,exactly what does text mean,definition
74,tell me what the word text means,definition
75,tell me the definition of text,definition
76,can you give the definition of text,definition
77,please share the definition of text,definition
78,text means what,definition
79,find what the word text mean please,definition
80,do you know what text means,definition
81,give me the meaning of text,definition
82,i would like to know what text means,definition
83,can you tell me what text means,definition
84,i do not undertand text,definition
85,i cannot understand text,definition
86,i am unable to understand text,definition
87,please explain text,definition
88,what is differences,definition
89,summary of differences,definition
90,i want summary of differences,definition
91,brief explanation about differences,definition
92,i want to know more about differences,definition
93,summary for the current topic differences,definition
94,more information about differences,definition
95,summary for differences,definition
96,give me summary for differences,definition
97,i want summary for differences,definition
98,what does differences mean,definition
99,tell me something about differences,definition
100,explain differences,definition
101,elaborate differences,definition
102,can you tell me about differences,definition
103,what do you know about differences,definition
104,what can you tell me about differences,definition
105,do you have information about differences,definition
106,define differences,definition
107,can you define differences,definition
108,give me definition of differences,definition
109,may i please have a definition for differences,definition
110,what is the meaning of differences,definition
111,please define differences,definition
112,tell me the meaning of differences,definition
113,define differences for me please,definition
114,i need to know what differences means,definition
115,tell me please what differences means,definition
116,what is the definition of differences,definition
117,exactly what does differences mean,definition
118,tell me what the word differences means,definition
119,tell me the definition of differences,definition
120,can you give the definition of differences,definition
121,please share the definition of differences,definition
122,differences means what,definition
123,find what the word differences mean please,definition
124,do you know what differences means,definition
125,give me the meaning of differences,definition
126,i would like to know what differences means,definition
127,can you tell me what differences means,definition
128,i do not undertand differences,definition
129,i cannot understand differences,definition
130,i am unable to understand differences,definition
131,please explain differences,definition
132,what is penguin,definition
133,summary of penguin,definition
134,i want summary of penguin,definition
135,brief explanation about penguin,definition
136,i want to know more about penguin,definition
137,summary for the current topic penguin,definition
138,more information about penguin,definition
139,summary for penguin,definition
140,give me summary for penguin,definition
141,i want summary for penguin,definition
142,what does penguin mean,definition
143,tell me something about penguin,definition
144,explain penguin,definition
145,elaborate penguin,definition
146,can you tell me about penguin,definition
147,what do you know about penguin,definition
148,what can you tell me about penguin,definition
149,do you have information about penguin,definition
150,define penguin,definition
151,can you define penguin,definition
152,give me definition of penguin,definition
153,may i please have a definition for penguin,definition
154,what is the meaning of penguin,definition
155,please define penguin,definition
156,tell me the meaning of penguin,definition
157,define penguin for me please,definition
158,i need to know what penguin means,definition
159,tell me please what penguin means,definition
160,what is the definition of penguin,definition
161,exactly what does penguin mean,definition
162,tell me what the word penguin means,definition
