,Text,Intent
0,set a warning for when my bank account starts running low,oos
1,a show on broadway,oos
2,who has the best record in the nfl,oos
3,how do i find the area of a circle,oos
4,how many onions do i have on hand,oos
5,what is the name of the 13th president,oos
6,show me recent activity in my backyard,oos
7,how long will it take me to pay off my card if i pay an extra $50 a month over the minimum,oos
8,does our bank have free notary,oos
9,what were the top stories this week,oos
10,can i mix antifreeze with water,oos
11,are any earning reports due,oos
12,show me the channel guide,oos
13,is the pnc bank open,oos
14,where does the power steering fluid go,oos
15,when was the last time the president visited floridau,oos
16,how can i keep my windshield from fogging up in winter,oos
17,how do i compute the median of a set of numbers,oos
18,what is happening with brexit right nowu,oos
19,are there any new companies to look out for,oos
20,can you tell me how to compute price per ounce,oos
21,how to unclog a drain,oos
22,am kind of busy now,oos
23,what new reality shows are there for 2019,oos
24,what is the purpose or benefit of a cash advance,oos
25,how can i root an android phone,oos
26,is android better than iphone,oos
27,are androids expensive,oos
28,how long does it take to become an architect,oos
29,who are some famous living architects,oos
30,find out for me as to why people get autism,oos
31,is autism a genetic disease,oos
32,is flu contagious,oos
33,is it true that nicotine is harder to kick than heroin,oos
34,please inform me on bad habits and overcoming them,oos
35,are bad habits closely related with addictions,oos
36,does hypnosis work to break bad habits,oos
37,king of acid,oos
38,suo2,oos
39,what university in the united states offers the best biomedical engineering program,oos
40,what's the definition of nuclear engineering,oos
41,when was electrical engineering created,oos
42,what is naval engineering,oos
43,is it possible to survive in a black hole,oos
44,where do black holes come from,oos
45,what are black holes,oos
46,what was the final vote count in the brexit referendum,oos
47,can you tell me the latest georgia news,oos
48,is the brexit finalized yet,oos
49,the birds fly with there wings,oos
50,how the birds fly,oos
51,where does cannabis originate from,oos
52,how are my cannabis stocks doing,oos
53,is marijuana addictive,oos
54,should i hit or stay at 17 in blackjack,oos
55,what game has the best odds at a casino,oos
56,what's the best opening gambit for a game of chess,oos
57,what side in chess has the general advantage,oos
58,how do i get better at go,oos
59,how high does my sat score need to be to get into harvard,oos
60,what'll an education at boulder state college run,oos
61,what's the average gpa to get into yale,oos
62,what act score is considered good,oos
63,what cryptocurrency gained the most in 2018,oos
64,what's the best crypto to buy in 2019,oos
65,how is crypto legal,oos
66,are there any cybersecurity jobs available in pittsburgh,oos
67,how many firewalls should i have and what type,oos
68,how can i breach a network,oos
69,how does cybersecurity work,oos
70,how many countries in the world are democracies,oos
71,is the united states a democracy,oos
72,which nations are not democratic,oos
73,how does a democracy work,oos
74,please get me my wheelchair,oos
75,what's the best dog food to feed my puppy,oos
76,how do you know when your dog is ill,oos
77,what dog breed sold the most in 2018,oos
78,how much food should i feed my cat,oos
79,what does it mean if i dream of falling off a building,oos
80,is it bad to not remember your dreams,oos
81,why do we dream,oos
82,"do ducks eat meat, vegetables, or both",oos
83,what is the friendliest breed,oos
84,what do geese eat,oos
85,do ducks sleep,oos
86,are over the ear headphones better than in ear headphones,oos
87,what brand of earphones is the best reviewed of 2019,oos
88,are white and brown eggs any different,oos
89,where do eggs come from,oos
90,how can i easily replace a string on my guitar,oos
91,how do you learn how to play electric violin,oos
92,can you give me the standard tuning notes,oos
93,what is the cheapest electric guitar,oos
94,you want to know about current time now,oos
95,what does it mean to have equality,oos
96,what site publishes the most fake news,oos
97,can you tell me some fake news,oos
98,is cnn really fake news,oos
99,why is there fake news,oos
100,"in spanish, meet me tomorrow is said how",oos
101,"in french, how do i say, see you later",oos
102,how do i ask about the weather in chinese,oos
103,how do i say good bye in chinese,oos
104,how can i say thank you very much in chinese,oos
105,i need to know how to say hello in france,oos
106,how do you say hello in mexico,oos
107,tell me how to say hello in chile,oos
108,i want to know how to say goodbye in france,oos
109,"would you translate a sentence into russian for me, please",oos
110,would you translate a phrase into mandarin for me,oos
111,"can you translate this name into spanish for me, please",oos
112,could you translate water into dutch for me,oos
113,transfer ten dollars from my wells fargo account to my bank of america account,oos
114,take one hundred and fifty bucks from my wells fargo checking account and put it in my wells fargo savings account,oos
115,move a dollar from my checkings to my savings,oos
116,move my money to the other account,oos
117,please transfer half of my funds to an alternate account,oos
118,can you move my money to my savings,oos
119,make an eft to my savings from my checking account,oos
120,send 100 dollars from my vanguard money market to my wells fargo savings,oos
121,i need 200 dollars transferred from my long island savings account to my chase checking,oos
122,send from my bbc money market to my t rowe price money market seven thousand dollars,oos
123,create a new timer,oos
124,i'd like to set a new timer,oos
125,help me set a timer please,oos
126,10 minutes is what the timer should be set at,oos
127,10 minutes is the setting for the timer,oos
128,set the timer for 10 minutes,oos
129,can you set a 30 second timer,oos
130,i need a timer set please,oos
131,create a timer that is set to go off after 25 mins,oos
132,i need a timer that is set at 1 hour exactly,oos
133,could you set up a timer for me,oos
134,will you start a timer for me,oos
135,set up a 52 minute timer,oos
136,please set up a timer for me,oos
137,may i please have a definition for the work churlish,definition
138,i want to know what trenchant means,definition
139,what is the meaning of fascism,definition
140,can you tell me what a septuagenarian is,definition
141,can you define the word schadenfreude,definition
142,what does unsavory mean,definition
143,please define erection for me,definition
144,what does idiosyncratic mean,definition
145,tell me the meaning of condemnation,definition
146,define monetary for me please,definition
147,tell me the meaning of hegemony,definition
148,what does indignation mean,definition
149,define ambivalence for me please,definition
150,please define institutional racism,definition
151,define antagonist for me please,definition
152,what does distinguish mean,definition
153,what is the meaning of word alliance,definition
154,i need to know what dominate means,definition
155,what is the definition of the word migrate,definition
156,tell me please what paean means,definition
157,i want to know what the purpose of life is,oos
158,i want to hear what you think life's purpose is about,oos
159,what do you think the purpose of life is,oos
160,what do you think our purpose is in life,oos
161,what is life's purpose,oos
162,tell me all about the meaning of life,oos
163,do you have any ideas on the meaning of life,oos
164,tell me the meaning of life,oos
165,"can you tell me, what is the meaning of life",oos
166,what is our purpose,oos
167,what do you think we are on earth for,oos
168,what do you think life is really about,oos
169,do you think we have a higher calling,oos
170,why are humans on earth,oos
171,explain how do i get new insurance,oos
172,tell me how to get new insurance,oos
173,explain to me how do i get new insurance,oos
174,can you tell me how do i get new insurance,oos
175,i'd like to know how changes are made to my insurance policy,oos
176,how can i make changes for my insurance policy,oos
177,can you tell me how changes on my insurance policy can be made,oos
178,i'd like to know how to make changes for my insurance policy,oos
179,i need to switch insurance plans,oos
180,can you help me switch insurance plans,oos
181,tell me how to make changes to my insurance policy,oos
182,how do i switch to a new insurance plan,oos
183,how can i change information on my insurance policy,oos
184,tell me how to change my insurance policy,oos
185,"i need to change my insurance policy, how",oos
186,please help me find my lost phone,oos
187,help me find my phone please,oos
188,tell me where i left my phone,oos
189,what happened to my cellphone,oos
190,where is my cellphone,oos
191,do you know where my cellphone is,oos
192,i have lost my phone,oos
193,tell me my phone's location,oos
194,i need to know my phone's location,oos
195,can you find me my phone,oos
196,my phone is lost and i need help finding it,oos
197,is france safe to travel to,oos
198,i need to know is traveling to france safe,oos
199,can i travel to france as far as safety goes,oos
200,are there any current travel alerts for brazil,oos
201,are there any travel alerts for seattle,oos
202,how safe is it to travel to guatemala right now and are there any alerts,oos
203,are there any travel alerts for juarez,oos
204,what's the danger level of flying to russia right now,oos
205,are there any travel alerts for antarctica,oos
206,are there any travel alerts for mountain view,oos
207,does mexico have any travel alerts i should know about,oos
208,does greece currently have any travel alerts in place,oos
209,how safe is visiting canada this week,oos
210,have the riots in france triggered any alerts for people traveling to there,oos
211,is it safe to travel to mexico,oos
212,i am requesting pto for march 2 and 3,oos
213,can you please request pto for march 2 and 3,oos
214,i would like to request pto for march 2 and 3,oos
215,i need to request pto for march 2 and 3,oos
216,can i put in a pto request for may 1 to may 5,oos
217,tell me how to make a vacation request,oos
218,i would like to know if i can put a pto request in for march 19 to march 20,oos
219,am i able to put in a pto request for may 6 to may 18,oos
220,i need to know how to make a vacation request,oos
221,what is the process for making a vacation request,oos
222,please help me make a request for vacation,oos
223,i have a vacation request that i need made,oos
224,what are some ways to raise my credit score,oos
225,are there any videos on how to repair my credit score,oos
226,what can i do to get a better credit score,oos
227,what are the top 10 ways to build my credit score,oos
228,how can i build up my credit score,oos
229,how can i build my credit score,oos
230,what is the best way to insure that my credit score doesn't decrease,oos
231,what is the best way to keep my credit score from going down,oos
232,what is the best thing for me to do to improve my credit score quickly,oos
233,how can i safeguard my credit score from dropping,oos
234,do i have options on how to improve my credit score,oos
235,what steps can i take to improve my credit score,oos
236,show me a plan to help my credit score rating,oos
237,tell me something interesting about lake tahoe,oos
238,give me a cool fact about seattle,oos
239,tell me something interesting about elephants,oos
240,give me a cool fact about potatoes,oos
241,give me a cool fact about puppies,oos
242,give me a cool fact about lsd,oos
243,tell me a fun fact about the moon landing,oos
244,what's a fun fact about axolotls,oos
245,tell me a fact about the maned wolf,oos
246,give me harry potter trivia,oos
247,tell me an axolotl fact,oos
248,show me trivia about cats,oos
249,read me cat trivia,oos
250,i need new language,oos
251,switch language for me,oos
252,you must change your language setting to russian,oos
253,change language please,oos
254,please change your language setting to spanish now,oos
255,change your language setting to spanish,oos
256,i want new language,oos
257,please change the language,oos
258,speak arabic,oos
259,speak french,oos
260,speak mandarin,oos
261,change response language from mandarin to english,oos
262,please respond to me in english from now on,oos
263,please change your response language to english,oos
264,when's the next time i get paid,oos
265,when's my next paycheck coming in,oos
266,what's the date of my next paycheck,oos
267,when do i get my paycheck,oos
268,which day is pay day,oos
269,which day is it that my payment comes in,oos
270,when am i paid or how often,oos
271,when was i paid most recently,oos
272,what was the date of my last paycheck,oos
273,when did i get my check last,oos
274,how long has it been since i was paid,oos
275,what date is the next payday,oos
276,what date is the next day i get paid,oos
277,when is the next payday,oos
278,what is my pay,oos
279,how much is on my paycheck this week,oos
